kode_wilayah,nama_wilayah,tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
96747,Halim Perdana Kusuma Jakarta,2/20/2017,23.1,26.8,25.5,96.0,136.3,,4.0,290.0,2.0,SE
96747,Halim Perdana Kusuma Jakarta,2/21/2017,23.0,30.2,25.7,88.0,6.0,,4.0,250.0,1.0,W 
96747,Halim Perdana Kusuma Jakarta,2/22/2017,23.8,32.4,26.7,87.0,25.4,,4.0,360.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,2/23/2017,24.3,33.8,26.8,84.0,0.4,,5.0,360.0,2.0,
96747,Halim Perdana Kusuma Jakarta,2/24/2017,24.8,31.8,27.6,82.0,0.2,,5.0,360.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,2/25/2017,23.6,32.8,26.8,82.0,15.4,,5.0,340.0,2.0,
96747,Halim Perdana Kusuma Jakarta,2/26/2017,24.1,32.6,27.2,82.0,5.7,,5.0,20.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,2/27/2017,25.0,31.2,26.7,85.0,0.4,,5.0,220.0,1.0,
96747,Halim Perdana Kusuma Jakarta,2/28/2017,24.8,32.0,27.2,82.0,,,4.0,250.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,3/1/2017,24.8,32.8,26.8,84.0,29.0,,8.0,230.0,2.0,SW
96747,Halim Perdana Kusuma Jakarta,3/2/2017,23.0,,26.3,87.0,42.0,,4.0,200.0,1.0,NW
96747,Halim Perdana Kusuma Jakarta,3/3/2017,24.0,32.4,26.7,90.0,6.6,,4.0,220.0,1.0,N 
96747,Halim Perdana Kusuma Jakarta,3/4/2017,24.0,31.8,26.7,82.0,11.3,,6.0,200.0,2.0,S 
96747,Halim Perdana Kusuma Jakarta,3/5/2017,24.0,32.5,27.7,81.0,,,4.0,360.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,3/6/2017,24.0,31.2,27.0,85.0,22.6,,4.0,300.0,2.0,W 
96747,Halim Perdana Kusuma Jakarta,3/7/2017,23.6,30.4,26.4,85.0,41.8,,4.0,330.0,1.0,SW
96747,Halim Perdana Kusuma Jakarta,3/8/2017,24.0,32.5,27.6,80.0,8888.0,,4.0,340.0,2.0,NW
96747,Halim Perdana Kusuma Jakarta,3/9/2017,24.4,32.2,26.6,82.0,2.4,,6.0,220.0,1.0,N 
96747,Halim Perdana Kusuma Jakarta,3/10/2017,24.2,32.4,27.0,84.0,8888.0,,4.0,360.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,3/11/2017,24.0,32.2,26.9,81.0,,,7.0,180.0,2.0,N 
96747,Halim Perdana Kusuma Jakarta,3/12/2017,24.0,33.0,28.1,77.0,,,5.0,260.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,3/13/2017,23.4,34.8,28.9,66.0,,,5.0,250.0,3.0,W 
96747,Halim Perdana Kusuma Jakarta,3/14/2017,25.0,34.5,29.1,70.0,8888.0,,6.0,200.0,3.0,S 
96747,Halim Perdana Kusuma Jakarta,3/15/2017,23.0,33.6,28.8,70.0,,,7.0,270.0,3.0,SW
96747,Halim Perdana Kusuma Jakarta,3/16/2017,23.4,32.8,27.4,80.0,,,4.0,170.0,2.0,S 
96747,Halim Perdana Kusuma Jakarta,3/17/2017,25.0,32.0,27.2,85.0,4.8,,3.0,40.0,1.0,SE
96747,Halim Perdana Kusuma Jakarta,3/18/2017,24.0,28.4,25.5,89.0,19.0,,5.0,250.0,2.0,W 
